Id,Name,Symbol,Description,Rank,Price Usd,Price Btc,24h Volume Usd,Market Cap Usd,Available Supply,Total Supply,Percent Change 1h,Percent Change 24h,Percent Change 7d,Last Updated
civic,Civic,CVC,Identity and Authentication App,59,0.308016,0.00005365,1244640,105033456,341000000,1000000000,1.1,-3.49,1.65,1509199461
lykke,Lykke,LKK,Digital asset exchange,60,0.354006,0.00006166,68241.3,95272267,269126135,1285690000,0.95,1.86,-6.66,1509199453
0x,0x,ZRX,Decentralized exchange,61,0.190034,0.0000331,849666,95017000,500000000,1000000000,1.02,-0.56,-7.31,1509199462
blocknet,Blocknet,BLOCK,Decentralized exchange,62,18.3752,0.00320033,131088,89313935,4860569,4860569,0.65,-2.82,-23.31,1509199447
singulardtv,SingularDTV,SNGLS,Decentralized Netflix,63,0.146475,0.00002551,1135240,87885000,600000000,1000000000,0.25,-2.1,9.96,1509199452
digibyte,DigiByte,DGB,Faster Bitcoin,64,0.0092197,0.00000161,2083810,85943017,9321671736,9321671736,0.52,0.35,7.81,1509199441
metaverse,Metaverse ETP,ETP,Chinese Ethereum plus identity,65,3.66348,0.00063805,5969280,82794648,22600000,52244767,0.26,-8.96,-26.05,1509199458
monaco,Monaco,MCO,Cryptocurrency credit card,66,8.134,0.00141667,3169590,79834195,9814875,31587682,-0.32,8.68,7.31,1509199460
attention-token-of-media,ATMChain,ATM,Advertising network,67,0.0273877,0.00000477,1992920,79795007,2913534434,10000000000,1.3,-3.28,-4.41,1509199465
bytom,Bytom,BTM,Physical assets as tokens,68,0.0799129,0.00001392,165843,78874032,987000000,1407000000,0.32,-5.74,-1.37,1509199461
bancor,Bancor,BNT,Token Index Funds,69,1.91229,0.00033306,1270830,77969553,40772871,79384422,1.99,1.42,-3.54,1509199459
gnosis-gno,Gnosis,GNO,Decentralized prediction market,70,70.5287,0.0122837,269287,77905297,1104590,10000000,0.98,-0.64,0.59,1509199457
verge,Verge,XVG,Privacy Dogecoin,71,0.00545876,0.00000095,1750990,77327589,14165779181,14165779181,-2.46,5.13,24.24,1509199445
funfair,FunFair,FUN,Decentralized casino,72,0.0191606,0.00000334,1051370,76642400,4000000000,10999873621,-0.64,6.43,3.03,1509199460
chainlink,ChainLink,LINK,External data for contracts,73,0.209523,0.00003649,1333540,73333050,350000000,1000000000,3.39,-6.45,-9.02,1509199463
pura,Pura,PURA,Cryptocurrency,74,0.412656,0.00007187,145046,70821566,171623740,178406234,2.39,-1.46,3.96,1509199446
mcap,MCAP,MCAP,Mining investment fund,75,1.83056,0.00031882,601971,70102469,38295641,100000000,-0.69,-3.49,-9.68,1509199457
gxshares,GXShares,GXS,Decentralized Chinese Equifax,76,1.72856,0.00030106,2135820,70023966,40510000,100000000,0.63,0.42,0.76,1509199459
bitquence,Bitquence,BQX,Mint for cryptocurrency investments,77,0.890988,0.00015518,291702,63828652,71638060,222295208,0.66,1.43,31.85,1509199460
neblio,Neblio,NEBL,Decentralized Application Platform,78,5.02682,0.0008755,379128,62832878,12499528,13225975,-0.75,-7.19,30.07,1509199463
bitdeal,Bitdeal,BDL,Bitcoin clone,79,0.386968,0.0000674,135082,60448199,156209812,219373462,-1.31,-3.05,-8.92,1509199461
nexus,Nexus,NXS,Bitcoin clone,80,1.11553,0.00019429,184478,59555517,53387642,53387642,1.5,-3.97,-8.71,1509199445
nxt,Nxt,NXT,,81,0.0596055,0.00001038,1636280,59545891,998999942,998999942,0.9,1.24,-2.11,1509199441
iocoin,I/O Coin,IOC,Bitcoin clone,82,3.62993,0.00063221,291115,59443397,16375907,16375907,1.5,3.73,46.17,1509199445
vechain,VeChain,VEN,Supply chain item IDs,83,0.204435,0.00003561,392887,56661743,277162633,867162633,-0.87,2.48,-18.25,1509199463
adx-net,AdEx,ADX,Advertising exchange,84,0.980136,0.00017071,3057380,55235732,56355171,100000000,0.4,1.38,28.09,1509199459
